,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,1,BitcoinBTCBuy,"$102,799.81",0.52%,5.89%,6.42%,"$2.04T$2,041,819,862,540","$66,488,015,278646.77K BTC",19.86M BTC,
,2,EthereumETHBuy,"$2,179.11",0.90%,20.36%,18.26%,"$263.09B$263,088,903,900","$35,440,652,91516.26M ETH",120.73M ETH,
,3,TetherUSDTBuy,$1.00,0.06%,0.01%,0.02%,"$149.51B$149,508,699,634","$107,955,788,981107.95B USDT",149.5B USDT,
,4,XRPXRPBuy,$2.29,0.85%,7.62%,3.21%,"$134.16B$134,158,670,783","$4,598,480,3832.00B XRP",58.5B XRP,
,5,BNBBNBBuy,$623.10,0.46%,3.59%,4.00%,"$87.79B$87,788,469,715","$2,023,708,6163.24M BNB",140.88M BNB,
,6,SolanaSOLBuy,$161.08,0.93%,9.16%,7.06%,"$83.6B$83,604,250,963","$6,621,327,34741.10M SOL",519.02M SOL,
,7,USDCUSDCBuy,$0.9999,0.05%,0.00%,0.02%,"$60.91B$60,908,045,324","$17,593,892,60917.59B USDC",60.9B USDC,
,8,DogecoinDOGEBuy,$0.1928,1.47%,12.17%,6.01%,"$28.78B$28,775,392,699","$1,843,190,7419.55B DOGE",149.18B DOGE,
,9,CardanoADABuy,$0.7531,1.40%,12.59%,5.80%,"$26.59B$26,594,038,736","$1,295,453,4391.71B ADA",35.3B ADA,
,10,TRONTRXBuy,$0.2567,0.28%,3.27%,4.91%,"$24.37B$24,368,606,165","$721,485,9412.81B TRX",94.91B TRX,
,11,SuiSUIBuy,$3.97,2.00%,19.19%,10.04%,"$13.28B$13,279,813,381","$3,180,204,974799.45M SUI",3.33B SUI,
,12,ChainlinkLINKBuy,$15.69,1.14%,13.94%,5.57%,"$10.32B$10,316,196,977","$601,999,67638.34M LINK",657.09M LINK,
,13,AvalancheAVAXBuy,$21.72,1.26%,11.40%,0.31%,"$9.08B$9,080,683,419","$500,029,19623.01M AVAX",417.99M AVAX,
,14,StellarXLMBuy,$0.2882,0.69%,10.85%,4.49%,"$8.92B$8,923,240,225","$279,335,496969.14M XLM",30.95B XLM,
,15,Shiba InuSHIBBuy,$0.00001420,1.89%,11.40%,4.27%,"$8.37B$8,367,458,306","$336,250,84523.67T SHIB",589.24T SHIB,
,16,Bitcoin CashBCHBuy,$420.86,0.55%,14.58%,15.95%,"$8.36B$8,361,436,289","$736,526,7001.75M BCH",19.86M BCH,
,17,UNUS SED LEOLEOBuy,$8.82,0.39%,0.87%,1.81%,"$8.15B$8,152,976,790","$4,764,163539.64K LEO",923.49M LEO,
,18,HederaHBARBuy,$0.1929,1.52%,9.53%,2.67%,"$8.15B$8,151,631,760","$249,017,6961.29B HBAR",42.23B HBAR,
,19,ToncoinTONBuy,$3.17,2.12%,5.24%,1.22%,"$7.91B$7,914,916,215","$221,063,12169.54M TON",2.48B TON,
